segment_id,vehicle,session_index,split,proxy_capacity_ah,soc_start,voltage_start,voltage_60,voltage_300,voltage_600,current_mean,tmax_mean,temperature_rise,cell_gap_mean,cell_gap_max
vehicle_018_session_00352,vehicle_018,352,test,123.58106315724208,41.6,332.5,333.70000000000005,335.7,338.0,-50.11600773333333,23.466666666666665,1,0.03106666666666665,0.03600000000000003
vehicle_018_session_00353,vehicle_018,353,test,123.98661777133147,2.8,319.1,320.3,322.7,324.6,-49.652641578947375,26.776315789473685,1,0.032578947368421075,0.03699999999999992
vehicle_018_session_00354,vehicle_018,354,test,122.17398173120475,24.0,328.6,329.7,331.1,332.8,-70.31448460526315,24.67105263157895,1,0.03039473684210527,0.03200000000000003
vehicle_018_session_00355,vehicle_018,355,test,123.57825565599173,48.0,334.7,335.4,337.15,339.1,-29.20133986666667,23.12,1,0.03181333333333329,0.03699999999999992
vehicle_018_session_00356,vehicle_018,356,test,122.96548156779657,52.8,339.1,340.4,343.4,346.3,-45.1421152631579,27.0,0,0.04507894736842109,0.04899999999999993
vehicle_018_session_00357,vehicle_018,357,test,123.25765825785028,24.0,328.3,329.4,330.8,332.2,-69.28686078947366,26.605263157894736,1,0.029644736842105293,0.03100000000000014
vehicle_018_session_00358,vehicle_018,358,test,123.05628087518399,37.2,331.6,333.1,335.3,338.3,-70.21448210526317,22.210526315789473,2,0.035815789473684176,0.04200000000000026
vehicle_018_session_00359,vehicle_018,359,test,122.68625299479169,33.6,331.0,332.0,334.0,336.4,-74.18158763157896,26.513157894736842,1,0.03521052631578949,0.040999999999999925
vehicle_018_session_00360,vehicle_018,360,test,125.00328848333336,47.6,336.1,337.6,341.675,346.4,-74.09200586666665,28.226666666666667,2,0.05154666666666667,0.058000000000000274
vehicle_018_session_00361,vehicle_018,361,test,122.8163963090278,17.6,326.7,328.25,329.9,331.3,-74.05467159999999,23.866666666666667,1,0.03254666666666668,0.038000000000000256
vehicle_018_session_00362,vehicle_018,362,test,124.4443570787474,55.2,342.7,344.95,348.85,352.8,-70.1486927631579,23.855263157894736,1,0.047249999999999986,0.05500000000000016
vehicle_018_session_00363,vehicle_018,363,test,122.82178535259592,30.4,329.7,330.9,332.6,334.6,-70.03600440000001,24.413333333333334,1,0.03017333333333335,0.03300000000000036
vehicle_018_session_00364,vehicle_018,364,test,123.17259999098128,36.0,331.3,332.54999999999995,334.7,337.2,-69.78949,24.539473684210527,1,0.032750000000000015,0.03699999999999992
vehicle_018_session_00365,vehicle_018,365,test,122.92647114601519,21.2,327.7,328.85,330.25555555555553,331.7,-69.80668146666666,24.666666666666668,1,0.028946666666666683,0.03100000000000014
vehicle_018_session_00366,vehicle_018,366,test,123.75439240785259,35.2,331.0,332.2,334.2,336.6,-70.42104894736842,28.17105263157895,2,0.03194736842105266,0.03600000000000003
vehicle_018_session_00367,vehicle_018,367,test,123.48695348385168,14.0,324.6,326.05,328.3,329.7,-69.8826688,34.0,0,0.03288000000000001,0.038000000000000256
vehicle_018_session_00368,vehicle_018,368,test,123.80939956952568,29.2,329.2,330.3,331.775,333.5,-70.07067213333333,34.0,0,0.029720000000000038,0.03200000000000003
vehicle_018_session_00369,vehicle_018,369,test,122.12080956413732,40.0,332.7,333.8,336.20000000000005,339.6,-70.37631289473684,31.68421052631579,1,0.03546052631578947,0.04200000000000026
vehicle_018_session_00370,vehicle_018,370,test,123.68165998755242,12.8,324.1,325.6,328.2,329.6,-70.22106592105263,30.894736842105264,1,0.034499999999999975,0.039000000000000146
vehicle_018_session_00371,vehicle_018,371,test,122.19362135012922,29.2,328.5,329.6,330.7,331.9,-50.10790500000001,30.86842105263158,1,0.022986842105263184,0.025000000000000355
vehicle_018_session_00372,vehicle_018,372,test,123.84345982064742,47.2,334.9,336.1,338.70000000000005,342.1,-49.97105526315789,32.078947368421055,1,0.03642105263157891,0.04400000000000004
vehicle_018_session_00373,vehicle_018,373,test,122.95483885838965,38.8,331.9,333.25,335.4,338.5,-69.91709855263157,31.05263157894737,2,0.03467105263157893,0.040000000000000036
vehicle_018_session_00374,vehicle_018,374,test,124.94512051164223,70.4,355.7,357.15,360.75,365.0,-70.5986925,32.60526315789474,1,0.041986842105263135,0.043999999999999595
vehicle_018_session_00375,vehicle_018,375,test,122.57128240480648,16.0,324.7,325.8,327.5,328.6,-50.06579434210526,27.973684210526315,1,0.028236842105263126,0.03399999999999981
vehicle_018_session_00376,vehicle_018,376,test,123.68640252933429,49.6,335.3,337.4,340.2375,343.3,-44.793340533333335,30.0,0,0.03934666666666667,0.04400000000000004
vehicle_018_session_00377,vehicle_018,377,test,124.40429884733607,48.8,337.1,338.70000000000005,343.075,347.4,-69.8773376,27.773333333333333,1,0.04790666666666668,0.052999999999999936
vehicle_018_session_00378,vehicle_018,378,test,124.79310803400391,74.4,359.1,361.05,364.79999999999995,369.3,-70.00000000000001,26.0,0,0.0416842105263158,0.04400000000000048
vehicle_018_session_00379,vehicle_018,379,test,123.22416960784315,29.6,329.6,330.7,332.2,334.1,-69.81448460526316,26.342105263157894,1,0.03094736842105267,0.03399999999999981
vehicle_018_session_00380,vehicle_018,380,test,123.87262954545459,53.6,341.1,343.4,347.29999999999995,351.3,-69.30791026315788,24.61842105263158,1,0.04785526315789473,0.05500000000000016
vehicle_018_session_00381,vehicle_018,381,test,123.34779147599554,28.4,329.2,330.3,331.9,333.5,-69.2533488,25.466666666666665,1,0.030453333333333377,0.03300000000000036
vehicle_018_session_00382,vehicle_018,382,test,121.43412821557969,36.0,329.1,332.7,334.9,337.5,-69.10395776315791,20.960526315789473,2,0.03365789473684212,0.0389999999999997
vehicle_018_session_00383,vehicle_018,383,test,122.17083746298648,18.8,327.1,328.55,330.1,331.4,-69.43288907894737,20.855263157894736,1,0.0291184210526316,0.03200000000000003
vehicle_018_session_00384,vehicle_018,384,test,123.72203064295164,38.8,331.3,332.15,333.70000000000005,335.5,-45.75790407894738,23.0,0,0.026236842105263166,0.028999999999999915
vehicle_018_session_00385,vehicle_018,385,test,121.80216243978809,28.4,329.7,330.9,332.45,334.4,-69.6342192105263,21.69736842105263,1,0.0306842105263158,0.03399999999999981
vehicle_018_session_00386,vehicle_018,386,test,123.57165298829834,47.2,335.7,337.29999999999995,341.20000000000005,345.8,-69.91972881578948,27.210526315789473,2,0.04660526315789473,0.052000000000000046
vehicle_018_session_00387,vehicle_018,387,test,124.66649993351068,60.0,346.4,348.45000000000005,352.0,356.0,-70.1906772,25.946666666666665,1,0.04423999999999998,0.04699999999999971
vehicle_018_session_00388,vehicle_018,388,test,120.71698840488219,32.4,328.6,330.1,331.35,332.5,-44.54001026666668,21.72,1,0.022666666666666675,0.0259999999999998
vehicle_018_session_00389,vehicle_018,389,test,124.9679826836918,72.8,357.8,358.9888888888889,361.3,363.9,-44.70401040000001,24.96,1,0.03447999999999999,0.036000000000000476
vehicle_018_session_00390,vehicle_018,390,test,124.57276203553393,66.8,353.0,354.9,358.4,362.5,-70.69867746666667,23.92,1,0.04321333333333336,0.04499999999999993
